행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1162054500,서울특별시,관악구,청림동,3,2023,2025,18982.0,1906,10.04,일반
1162057500,서울특별시,관악구,행운동,3,2023,2025,54279.0,26116,48.11,일반
1121581000,서울특별시,광진구,광장동,3,2023,2025,34977.0,2200,6.29,일반
1121585000,서울특별시,광진구,구의제1동,3,2023,2025,39198.0,13596,34.69,일반
1121586000,서울특별시,광진구,구의제2동,3,2023,2025,34022.0,4546,13.36,일반
1121587000,서울특별시,광진구,구의제3동,3,2023,2025,35792.0,6544,18.28,일반
1121573000,서울특별시,광진구,군자동,3,2023,2025,33311.0,12693,38.1,일반
1121578000,서울특별시,광진구,능동,3,2023,2025,19251.0,7342,38.14,일반
1121582000,서울특별시,광진구,자양제1동,3,2023,2025,35826.0,10367,28.94,일반
1121583000,서울특별시,광진구,자양제2동,3,2023,2025,33590.0,6002,17.87,일반
1121584000,서울특별시,광진구,자양제3동,3,2023,2025,32555.0,3683,11.31,일반
1121584700,서울특별시,광진구,자양제4동,3,2023,2025,32840.0,8367,25.48,일반
1121574000,서울특별시,광진구,중곡제1동,3,2023,2025,25748.0,7841,30.45,일반
1121575000,서울특별시,광진구,중곡제2동,3,2023,2025,31290.0,7614,24.33,일반
1121576000,서울특별시,광진구,중곡제3동,3,2023,2025,25164.0,5082,20.2,일반
1121577000,서울특별시,광진구,중곡제4동,3,2023,2025,38672.0,5428,14.04,일반
1121571000,서울특별시,광진구,화양동,3,2023,2025,53518.0,35475,66.29,일반
1153059500,서울특별시,구로구,가리봉동,3,2023,2025,17766.0,5744,32.33,일반
1153074000,서울특별시,구로구,개봉제1동,3,2023,2025,45027.0,4220,9.37,일반
1153075000,서울특별시,구로구,개봉제2동,3,2023,2025,36820.0,2816,7.65,일반
1153076000,서울특별시,구로구,개봉제3동,3,2023,2025,25757.0,1707,6.63,일반
1153072000,서울특별시,구로구,고척제1동,3,2023,2025,34669.0,4574,13.19,일반
1153073000,서울특별시,구로구,고척제2동,3,2023,2025,33957.0,2748,8.09,일반
1153052000,서울특별시,구로구,구로제1동,3,2023,2025,25027.0,3441,13.75,일반
1153053000,서울특별시,구로구,구로제2동,3,2023,2025,35834.0,5302,14.8,일반
1153054000,서울특별시,구로구,구로제3동,3,2023,2025,40400.0,15030,37.2,일반
1153055000,서울특별시,구로구,구로제4동,3,2023,2025,30289.0,5507,18.18,일반
1153056000,서울특별시,구로구,구로제5동,3,2023,2025,46478.0,14041,30.21,일반
1153079000,서울특별시,구로구,수궁동,3,2023,2025,29693.0,2528,8.51,일반
1153051000,서울특별시,구로구,신도림동,3,2023,2025,42806.0,5892,13.76,일반
1153077000,서울특별시,구로구,오류제1동,3,2023,2025,38255.0,12331,32.23,일반
1153078000,서울특별시,구로구,오류제2동,3,2023,2025,46369.0,4990,10.76,일반
1153080000,서울특별시,구로구,항동,3,2023,2025,18635.0,2183,11.71,일반
1154551000,서울특별시,금천구,가산동,3,2023,2025,54745.0,30530,55.77,일반
1154561000,서울특별시,금천구,독산제1동,3,2023,2025,77222.0,27077,35.06,일반
1154562000,서울특별시,금천구,독산제2동,3,2023,2025,27656.0,3943,14.26,일반
1154563000,서울특별시,금천구,독산제3동,3,2023,2025,37716.0,7742,20.53,일반
1154564000,서울특별시,금천구,독산제4동,3,2023,2025,22141.0,3002,13.56,일반
1154567000,서울특별시,금천구,시흥제1동,3,2023,2025,48574.0,8501,17.5,일반
1154568000,서울특별시,금천구,시흥제2동,3,2023,2025,24444.0,803,3.29,주의
1154569000,서울특별시,금천구,시흥제3동,3,2023,2025,13851.0,999,7.21,일반
1154570000,서울특별시,금천구,시흥제4동,3,2023,2025,26498.0,2029,7.66,일반
1154571000,서울특별시,금천구,시흥제5동,3,2023,2025,26938.0,2482,9.21,일반
1135059500,서울특별시,노원구,공릉1동,3,2023,2025,55505.0,14335,25.83,일반
1135060000,서울특별시,노원구,공릉2동,3,2023,2025,53288.0,10533,19.77,일반
1135072000,서울특별시,노원구,상계10동,3,2023,2025,22652.0,2204,9.73,일반
1135063000,서울특별시,노원구,상계1동,3,2023,2025,46231.0,3131,6.77,일반
1135064000,서울특별시,노원구,상계2동,3,2023,2025,25267.0,3070,12.15,일반
1135066500,서울특별시,노원구,상계3.4동,3,2023,2025,36854.0,1927,5.23,일반
1135067000,서울특별시,노원구,상계5동,3,2023,2025,32347.0,2723,8.42,일반
1135069500,서울특별시,노원구,상계6.7동,3,2023,2025,41259.0,5015,12.15,일반
1135070000,서울특별시,노원구,상계8동,3,2023,2025,27170.0,2534,9.33,일반
1135071000,서울특별시,노원구,상계9동,3,2023,2025,24870.0,1914,7.7,일반
1135056000,서울특별시,노원구,월계1동,3,2023,2025,29755.0,6670,22.42,일반
1135057000,서울특별시,노원구,월계2동,3,2023,2025,34725.0,2024,5.83,일반
1135058000,서울특별시,노원구,월계3동,3,2023,2025,38318.0,3086,8.05,일반
1135062100,서울특별시,노원구,중계1동,3,2023,2025,26616.0,719,2.7,주의
1135062500,서울특별시,노원구,중계2.3동,3,2023,2025,44482.0,2689,6.05,일반
